state,name,area (Sq MI)
AL,Alabama,"50,645"
AK,Alaska,"570,641"
AZ,Arizona,"113,594"
AR,Arkansas,"52,035"
CA,California,"155,779"
CO,Colorado,"103,642"
CT,Connecticut,"4,842"
DE,Delaware,"1,949"
DC,District of Columbia,61
FL,Florida,"53,625"
GA,Georgia,"57,513"
HI,Hawaii,"6,423"
ID,Idaho,"82,643"
IL,Illinois,"55,519"
IN,Indiana,"35,826"
IA,Iowa,"55,857"
KS,Kansas,"81,759"
KY,Kentucky,"39,486"
LA,Louisiana,"43,204"
ME,Maine,"30,843"
MD,Maryland,"9,707"
MA,Massachusetts,"7,800"
MI,Michigan,"56,539"
MN,Minnesota,"79,627"
MS,Mississippi,"46,923"
MO,Missouri,"68,742"
MT,Montana,"145,546"
NE,Nebraska,"76,824"
NV,Nevada,"109,781"
NH,New Hampshire,"8,953"
NJ,New Jersey,"7,354"
NM,New Mexico,"121,298"
NY,New York,"47,126"
NC,North Carolina,"48,618"
ND,North Dakota,"69,001"
OH,Ohio,"40,861"
OK,Oklahoma,"68,595"
OR,Oregon,"95,988"
PA,Pennsylvania,"44,743"
RI,Rhode Island,"1,034"
SC,South Carolina,"30,061"
SD,South Dakota,"75,811"
TN,Tennessee,"41,235"
TX,Texas,"261,232"
UT,Utah,"82,170"
VT,Vermont,"9,217"
VA,Virginia,"39,490"
WA,Washington,"66,456"
WV,West Virginia,"24,038"
WI,Wisconsin,"54,158"
WY,Wyoming,"97,093"
PR,Puerto Rico,"3,424"
AS,American Samoa,76
GU,Guam,210
MP,Northern Mariana Islands,182
VI,U.S. Virgin Islands,134
